Name,City,Latitude,Longitude,Group,Value
"GA","Georgia",33.6046790617676,-84.012314620205,"Serious",28789
"GA","Georgia",33.6046790617676,-84.012314620205,"Fatal",7823
"IA","Iowa",41.736603329916,-93.426426630385,"Slight",5
"IA","Iowa",41.736603329916,-93.426426630385,"Medium",5208
"IA","Iowa",41.736603329916,-93.426426630385,"Serious",3132
"IA","Iowa",41.736603329916,-93.426426630385,"Fatal",1147
"ID","Idaho",44.1099698640898,-115.525314149377,"Medium",3678
"ID","Idaho",44.1099698640898,-115.525314149377,"Serious",169
"ID","Idaho",44.1099698640898,-115.525314149377,"Fatal",318
"IL","Illinois",41.8543814695795,-88.0144345888154,"Slight",258
"IL","Illinois",41.8543814695795,-88.0144345888154,"Medium",43925
"IL","Illinois",41.8543814695795,-88.0144345888154,"Serious",30109
"IL","Illinois",41.8543814695795,-88.0144345888154,"Fatal",3334
"IN","Indiana",39.9469523851827,-86.2183123234991,"Slight",49
"IN","Indiana",39.9469523851827,-86.2183123234991,"Medium",14548
"IN","Indiana",39.9469523851827,-86.2183123234991,"Serious",7450
"IN","Indiana",39.9469523851827,-86.2183123234991,"Fatal",2946
"KS","Kansas",38.871673674367,-95.0336432572537,"Slight",5
"KS","Kansas",38.871673674367,-95.0336432572537,"Medium",4314
"KS","Kansas",38.871673674367,-95.0336432572537,"Serious",2674
"KS","Kansas",38.871673674367,-95.0336432572537,"Fatal",451
"KY","Kentucky",38.3611586877473,-85.2213688948167,"Slight",36
"KY","Kentucky",38.3611586877473,-85.2213688948167,"Medium",8847
"KY","Kentucky",38.3611586877473,-85.2213688948167,"Serious",5584
"KY","Kentucky",38.3611586877473,-85.2213688948167,"Fatal",829
"LA","Louisiana",30.5503656126902,-91.3440363456186,"Slight",1255
"LA","Louisiana",30.5503656126902,-91.3440363456186,"Medium",40204
"LA","Louisiana",30.5503656126902,-91.3440363456186,"Serious",7440
"LA","Louisiana",30.5503656126902,-91.3440363456186,"Fatal",1204
"MA","Massachusetts",42.3453146052085,-71.233845788862,"Slight",177
"MA","Massachusetts",42.3453146052085,-71.233845788862,"Medium",15702
"MA","Massachusetts",42.3453146052085,-71.233845788862,"Serious",8837
"MA","Massachusetts",42.3453146052085,-71.233845788862,"Fatal",405
"MD","Maryland",39.1599553606917,-76.8799177102289,"Slight",290
"MD","Maryland",39.1599553606917,-76.8799177102289,"Medium",31789
"MD","Maryland",39.1599553606917,-76.8799177102289,"Serious",14033
"MD","Maryland",39.1599553606917,-76.8799177102289,"Fatal",6643
"ME","Maine",43.9782145069476,-70.0109325571493,"Slight",1
"ME","Maine",43.9782145069476,-70.0109325571493,"Medium",2089
"ME","Maine",43.9782145069476,-70.0109325571493,"Serious",77
"ME","Maine",43.9782145069476,-70.0109325571493,"Fatal",99
"MI","Michigan",42.6987027767825,-83.9346043598308,"Slight",47
"MI","Michigan",42.6987027767825,-83.9346043598308,"Medium",42015
"MI","Michigan",42.6987027767825,-83.9346043598308,"Serious",19588
"MI","Michigan",42.6987027767825,-83.9346043598308,"Fatal",5423
"MN","Minnesota",45.0342068342144,-93.4098704663681,"Slight",37
